key,en_us
advancement.gm4.combat_expanded.challenger.description,When tough is not good enough
advancement.gm4.combat_expanded.challenger.title,Give Me More!
advancement.gm4.combat_expanded.full_set.description,Wear a full set of identified armor and a weapon to go with it
advancement.gm4.combat_expanded.full_set.title,Full Potential
advancement.gm4.combat_expanded.guardian.description,Give your life defending your allies
advancement.gm4.combat_expanded.guardian.title,Sentinel
advancement.gm4.combat_expanded.identify.description,Identify a weapon or piece of armor looted from a mob
advancement.gm4.combat_expanded.identify.title,Hidden Power
advancement.gm4.combat_expanded.survive.description,Stay alive for 10 days in a row
advancement.gm4.combat_expanded.survive.title,True Survivor
attribute.gm4.combat_expanded.aoe,%s AoE
attribute.gm4.combat_expanded.aura,%s Aura
attribute.gm4.combat_expanded.lore.immunity,%s Immunity
attribute.gm4.combat_expanded.toxic,Toxic %s
death.gm4.combat_expanded.delay,%s discovered the danger of resonance
death.gm4.combat_expanded.guarding,%s gave their life for %s
death.gm4.combat_expanded.overload,%s could not contain the power
death.gm4.combat_expanded.wither,%s could not control the power
enchantment.level.14,XIV
enchantment.level.15,XV
enchantment.level.16,XVI
enchantment.level.17,XVII
item.gm4.combat_expanded.lore.archer,Arrow Storm
item.gm4.combat_expanded.lore.beacon,Beacon
item.gm4.combat_expanded.lore.canine,Good Boi
item.gm4.combat_expanded.lore.challenge,Defiance
item.gm4.combat_expanded.lore.chaos_strike,Discordant Strikes:
item.gm4.combat_expanded.lore.chaos,Wild Magic
item.gm4.combat_expanded.lore.chime_strike,Tolling Strikes:
item.gm4.combat_expanded.lore.chime,Stacking Damage
item.gm4.combat_expanded.lore.delay_strike,Reverberating Strikes:
item.gm4.combat_expanded.lore.delay,Echo
item.gm4.combat_expanded.lore.eat_strike,Satiating Strikes:
item.gm4.combat_expanded.lore.equip,When Equipped:
item.gm4.combat_expanded.lore.fear,Flash Freeze
item.gm4.combat_expanded.lore.giant_strike,Stomping Strikes:
item.gm4.combat_expanded.lore.giant,AoE Damage
item.gm4.combat_expanded.lore.glow_strike,Phantom Strikes:
item.gm4.combat_expanded.lore.glow,Haunt
item.gm4.combat_expanded.lore.guard,Bulwark
item.gm4.combat_expanded.lore.half,Take Damage
item.gm4.combat_expanded.lore.heal_strike,Hallowed Strikes:
item.gm4.combat_expanded.lore.high_hp,When High on Health:
item.gm4.combat_expanded.lore.husk,Dart
item.gm4.combat_expanded.lore.killing,When Killing:
item.gm4.combat_expanded.lore.low_hp,When Low on Health:
item.gm4.combat_expanded.lore.lunar,Wax & Wane
item.gm4.combat_expanded.lore.mount,%s (Mount)
item.gm4.combat_expanded.lore.night,When Night-Time:
