key,en_us
advancement.gm4.combat_expanded_armor.identify.description,Obtain a Modified weapon or piece of armor from a mob
advancement.gm4.combat_expanded_armor.identify.title,Hidden Power
attribute.gm4.combat_expanded_armor.lore.immunity,%s Immunity
attribute.gm4.combat_expanded_armor.toxic,%s %s
death.gm4.combat_expanded_armor.delay,%s discovered the danger of resonance
enchantment.level.14,XIV
enchantment.level.15,XV
enchantment.level.16,XVI
enchantment.level.17,XVII
item.gm4.combat_expanded_armor.lore.archer,Arrow Storm
item.gm4.combat_expanded_armor.lore.beacon,Beacon
item.gm4.combat_expanded_armor.lore.big,Giant Growth
item.gm4.combat_expanded_armor.lore.canine,Good Boi
item.gm4.combat_expanded_armor.lore.delay_strike,Reverberating Strikes:
item.gm4.combat_expanded_armor.lore.delay,Echo
item.gm4.combat_expanded_armor.lore.equip,When Equipped:
item.gm4.combat_expanded_armor.lore.giant_strike,Stomping Strikes:
item.gm4.combat_expanded_armor.lore.giant,Area Damage
item.gm4.combat_expanded_armor.lore.half,Reduce Health to Half
item.gm4.combat_expanded_armor.lore.high_hp,When High on Health:
item.gm4.combat_expanded_armor.lore.husk,Ramping %s & %s
item.gm4.combat_expanded_armor.lore.killing,When Killing:
item.gm4.combat_expanded_armor.lore.low_hp,When Low on Health:
item.gm4.combat_expanded_armor.lore.mount,%s (Mount)
item.gm4.combat_expanded_armor.lore.poison_strike,Noxious Strikes:
item.gm4.combat_expanded_armor.lore.regen,Regenerate
item.gm4.combat_expanded_armor.lore.safe,When Not Under Attack:
item.gm4.combat_expanded_armor.lore.soothe,Heal Pulse
item.gm4.combat_expanded_armor.lore.tiny,Minituarize
item.gm4.combat_expanded_armor.lore.totem,%s Totem
item.gm4.combat_expanded_armor.lore.unsafe,When Under Attack:
item.gm4.combat_expanded_armor.lore.warp,Warp
item.gm4.combat_expanded_armor.lore.weakness_strike,Debilitating Strikes:
item.gm4.combat_expanded_armor.lore.wither_arrow,Arrow of Wither
item.gm4.combat_expanded_armor.name.acrobatic,Acrobatic %s
item.gm4.combat_expanded_armor.name.archer,Archery %s
item.gm4.combat_expanded_armor.name.beacon,Radiant %s
item.gm4.combat_expanded_armor.name.big,Goliaths %s
item.gm4.combat_expanded_armor.name.canine,Canine %s
item.gm4.combat_expanded_armor.name.delay,Resonating %s
item.gm4.combat_expanded_armor.name.fire,Flaming %s
item.gm4.combat_expanded_armor.name.giant,Giant %s
item.gm4.combat_expanded_armor.name.half,Fractal %s
item.gm4.combat_expanded_armor.name.heavy,Heavy %s
item.gm4.combat_expanded_armor.name.horse,Equestrian %s
item.gm4.combat_expanded_armor.name.husk,Dashing %s
item.gm4.combat_expanded_armor.name.immune,Vigorous %s
item.gm4.combat_expanded_armor.name.link,Unlinked %s
item.gm4.combat_expanded_armor.name.long,Long %s
item.gm4.combat_expanded_armor.name.poised,Fluxed %s
item.gm4.combat_expanded_armor.name.poison,Venomous %s
item.gm4.combat_expanded_armor.name.quick,Light %s
item.gm4.combat_expanded_armor.name.reactive,Reactive %s
item.gm4.combat_expanded_armor.name.satiated,Satiated %s
item.gm4.combat_expanded_armor.name.scout,Scouting %s
item.gm4.combat_expanded_armor.name.second_wind,Rejuvenating %s
item.gm4.combat_expanded_armor.name.shielded,Shielded %s
item.gm4.combat_expanded_armor.name.sneak,Sly %s
item.gm4.combat_expanded_armor.name.soothe,Soothing %s
item.gm4.combat_expanded_armor.name.tiny,Shrinking %s
item.gm4.combat_expanded_armor.name.totem,Totemic %s
item.gm4.combat_expanded_armor.name.toxic,Coated %s
item.gm4.combat_expanded_armor.name.vamp,Vampiric %s
item.gm4.combat_expanded_armor.name.vorpal,Vorpal %s
item.gm4.combat_expanded_armor.name.weightless,Weightless %s
item.gm4.combat_expanded_armor.name.weakness,Crippling %s
text.gm4.guidebook.module_desc.combat_expanded_armor,Use special armor and weapon modifiers to defend against mobs that grow ever stronger.
text.gm4.guidebook.combat_expanded_armor.description,"Mobs get stronger over time, based on each adventurer.\n\nMobs will spawn with higher health, damage, movement speed and with better armour and weapons."
text.gm4.guidebook.combat_expanded_armor.section.biome_modifiers,Area Modifiers
text.gm4.guidebook.combat_expanded_armor.biome_modifiers,Mobs spawned in different areas have special modifiers.\n\nSome areas and biomes spawn different mobs than usual.
text.gm4.guidebook.combat_expanded_armor.dark_areas,"Light Level 0, except in %s"
text.gm4.guidebook.combat_expanded_armor.dark,dark
text.gm4.guidebook.combat_expanded_armor.dark_modifier,Mobs spawned in %s areas are slightly stronger.\n\nCreepers have a higher blast radius and mobs don't drop their weapons and armour as often.
text.gm4.guidebook.combat_expanded_armor.burned,burned
text.gm4.guidebook.combat_expanded_armor.burned_modifier,"Mobs spawned in %s areas are weaker, but faster.\n\nHusks swarms can be found.\n\nMore mobs carry fire aspect and flame weapons."
text.gm4.guidebook.combat_expanded_armor.deep,deep oceans
text.gm4.guidebook.combat_expanded_armor.flowering,flowering
text.gm4.guidebook.combat_expanded_armor.flowering_modifier,"Zombies spawned in %s areas have less health, but can respawn when killed.\n\nCreepers will use Invisibility to sneak up to adventurers.\n\nSlimes are larger and spawn more often."
text.gm4.guidebook.combat_expanded_armor.growth,growth
text.gm4.guidebook.combat_expanded_armor.growth_modifier,"Mobs spawned in %s areas are weaker, but spawn in groups.\n\nSkeletons carry melee weapons.\n\nMobs can be found wearing projectile protection gear."
text.gm4.guidebook.combat_expanded_armor.mountainous,mountainous
text.gm4.guidebook.combat_expanded_armor.mountainous_modifier,"Mobs spawned in %s areas are stronger.\n\nMore mobs carry knockback and punch weapons.\n\nPhantoms can be found here at night."
text.gm4.guidebook.combat_expanded_armor.reef,warm oceans
text.gm4.guidebook.combat_expanded_armor.snowy,snowy
text.gm4.guidebook.combat_expanded_armor.snowy_modifier,"Mobs spawned in %s areas are slower, but have more health.\n\nMany attacks will apply slowness.\n\nCreepers are not found here."
text.gm4.guidebook.combat_expanded_armor.toxic,toxic
text.gm4.guidebook.combat_expanded_armor.toxic_modifier,"- Applies poison, weakness or instant health to the attacker\n- Reduced armor"
text.gm4.guidebook.combat_expanded_armor.section.weapons_and_armor,Special Gear
text.gm4.guidebook.combat_expanded_armor.drops,"Mobs can spawn with special gear.\n\nWeapons have a 20% drop chance and armour has a 8.5% drop chance.\n\nWhen dropped, the gear will have a powerful modifier."
text.gm4.guidebook.combat_expanded_armor.common_weapons,The following modifiers can be found on weapons:
text.gm4.guidebook.combat_expanded_armor.fire_modifier,"- Less attack damage, but has Fire Aspect III-V"
text.gm4.guidebook.combat_expanded_armor.giant_modifier,- Deals damage to everything within 4.5 blocks
text.gm4.guidebook.combat_expanded_armor.heavy_modifier,"- Stronger attack damage, but has slower attack speed\n- Knockback II-III"
text.gm4.guidebook.combat_expanded_armor.poison_modifier,- Poisons attacked target
text.gm4.guidebook.combat_expanded_armor.quick_modifier,"- Less attack damage, but quicker attack speed"
text.gm4.guidebook.combat_expanded_armor.weakness_modifier,- Temporarily slows and weakens attacked target
text.gm4.guidebook.combat_expanded_armor.delay_modifier,"- Shortly after hitting a target, they will be dealt heavy damage, attacking through armor and effects"
text.gm4.guidebook.combat_expanded_armor.lightning_modifier,- Attacks apply lightning charges.\n- 7+ charges cause a lightning strike
text.gm4.guidebook.combat_expanded_armor.swift_modifier,"- Reduced attack speed, but attacks grant bonus attack speed for 6 seconds"
text.gm4.guidebook.combat_expanded_armor.equipped_armor,The following armor modifiers are activated while equipped:
text.gm4.guidebook.combat_expanded_armor.husk_modifier,- Applies increasing speed and hunger while sprinting\n- Lower movement speed while not sprinting
text.gm4.guidebook.combat_expanded_armor.rarity_common,Common
text.gm4.guidebook.combat_expanded_armor.link_modifier,- Link to any adventurer wearing this armor with the same renamed name\n- All adventurers in the link share their health total
text.gm4.guidebook.combat_expanded_armor.beacon_modifier,- A floating light follows the wearer\n- Crouching will apply glowing and a light pulse
text.gm4.guidebook.combat_expanded_armor.canine_modifier,- Lower attack speed\n- Spawns an invulnerable dog that deals 4 damage\n- Commanding to sit will cause it to lose aggro\n- Feeding it will grant strength
text.gm4.guidebook.combat_expanded_armor.rarity_rare,Rare
text.gm4.guidebook.combat_expanded_armor.horse_modifier,- Mounts receive speed and additional helpful effects
text.gm4.guidebook.combat_expanded_armor.damage_taken_armor,The following armor modifiers are activated when damage is taken:
text.gm4.guidebook.combat_expanded_armor.reactive_modifier,- Gain absorption for 30 seconds\n- Reduced armor
text.gm4.guidebook.combat_expanded_armor.vorpal_modifier,- Teleport to a random location within 16 blocks when damaged\n- Full knockback resistance when equipped
text.gm4.guidebook.combat_expanded_armor.killing_armor,The following armor modifiers are activated when upon killing:
text.gm4.guidebook.combat_expanded_armor.vamp_modifier,- Regenerate a heart of health\n- Reduced armor
text.gm4.guidebook.combat_expanded_armor.totem_modifier,"- Summons a totem that gives allies regeneration, resistance, speed, or strength\n- Totems can stack if mobs are killed within its range of 18 blocks"
text.gm4.guidebook.combat_expanded_armor.safe_armor,The following armor modifiers are activated while not in combat:
text.gm4.guidebook.combat_expanded_armor.scout_modifier,- Quicker movement speed
text.gm4.guidebook.combat_expanded_armor.archer_modifier,- Multiple arrows will be shot from a single arrow shot\n- Lower attack speed when equipped
text.gm4.guidebook.combat_expanded_armor.shielded_modifier,- Gain absorption
text.gm4.guidebook.combat_expanded_armor.sneak_modifier,"- Gains invisibility when sneaking, when sneaking ends gain attack speed"
text.gm4.guidebook.combat_expanded_armor.low_health_armor,The following armor modifiers are activated while below half health:
text.gm4.guidebook.combat_expanded_armor.second_wind_modifier,"- Stores some damage taken, then restores it when the wearer is out of combat\n- Reduced armor"
text.gm4.guidebook.combat_expanded_armor.poised_modifier,"- Higher attack damage, but lower armor\n- Has an opposite effect when health is below 50%"
text.gm4.guidebook.combat_expanded_armor.soothe_modifier,- AOE of healing effect and regeneration\n- Can be recharged by killing mobs
text.gm4.guidebook.combat_expanded_armor.high_health_armor,The following armor modifiers are activated while above half health:
text.gm4.guidebook.combat_expanded_armor.half_modifier,- Damage is dealt until wearer is at half health\n- Resistance III when equipped
text.gm4.guidebook.combat_expanded_armor.immune_modifier,"- Immune to mining fatigue, poison or weakness, and to hunger, blindness, nausea or wither"
text.gm4.guidebook.combat_expanded_armor.deep_modifier,Mobs spawned in %s are tougher to kill.\n\nDrowned are faster as well.
text.gm4.guidebook.combat_expanded_armor.reef_modifier,Drowned spawned in %s are much more powerful and more frequently carry tridents.\n\nGuardians can be found here even outside of Ocean Monuments.
text.gm4.guidebook.combat_expanded_armor.toxic_modifier_2,"Mobs spawned in %s areas are weaker, but apply weakness, hunger, and poison.\n\nSpider clusters can be found."
advancement.gm4.combat_expanded_armor.vorpal.title,Vwoops!
advancement.gm4.combat_expanded_armor.vorpal.description,Who thought this was a good idea?
item.gm4.combat_expanded_armor.lore.archer_description,Fire many arrows
item.gm4.combat_expanded_armor.lore.beacon_description,"Lights the way, sneak to glow"
item.gm4.combat_expanded_armor.name.berserk,Berserkers %s
item.gm4.combat_expanded_armor.lore.burn,Burning Aura
item.gm4.combat_expanded_armor.lore.burn_description,"Stacks 8 times, 0.25 damage per stack"
item.gm4.combat_expanded_armor.lore.burn_description_2,At full stacks gain %s
item.gm4.combat_expanded_armor.name.burn,Burning %s
item.gm4.combat_expanded_armor.lore.canine_description,A loyal friend to fight by your side
item.gm4.combat_expanded_armor.lore.canine_description_2,Command to sit to lose aggro
item.gm4.combat_expanded_armor.lore.canine_description_3,Feed to strengthen
item.gm4.combat_expanded_armor.lore.weightless,Reduced %s
item.gm4.combat_expanded_armor.lore.convert,Convert Armor to Health
item.gm4.combat_expanded_armor.name.convert,Hearty %s
item.gm4.combat_expanded_armor.lore.drain,%s (Max %s)
item.gm4.combat_expanded_armor.name.drain,Draining %s
item.gm4.combat_expanded_armor.lore.focus,%s Aura
item.gm4.combat_expanded_armor.name.focus,Focused %s
item.gm4.combat_expanded_armor.lore.horse_description,%s stacks like Enchantments (2x %s = %s)
item.gm4.combat_expanded_armor.lore.husk_description,Stacks up to level %s
item.gm4.combat_expanded_armor.lore.husk_description_2,+1 level per extra piece
item.gm4.combat_expanded_armor.lore.link_2,Rename to Link
item.gm4.combat_expanded_armor.lore.link,When Linked:
item.gm4.combat_expanded_armor.lore.link_3,Lifelink
item.gm4.combat_expanded_armor.lore.link_description,Share Health with others in the link
item.gm4.combat_expanded_armor.lore.reactive_description,Cannot trigger again for 30 seconds
item.gm4.combat_expanded_armor.lore.reckless_description,Cannot go below 0 %s
item.gm4.combat_expanded_armor.name.reckless,Reckless %s
item.gm4.combat_expanded_armor.lore.second_wind,Store %s of Damage
item.gm4.combat_expanded_armor.lore.second_wind_2,Restore Stored Health
item.gm4.combat_expanded_armor.lore.shielded,Lose %s
item.gm4.combat_expanded_armor.lore.sneak,If Sneaking:
item.gm4.combat_expanded_armor.lore.sneak_2,Stop Sneaking:
item.gm4.combat_expanded_armor.lore.lightning,Charge
item.gm4.combat_expanded_armor.lore.lightning_description_2,Charge effect stacks when re-applied
item.gm4.combat_expanded_armor.lore.lightning_description,Apply 7 stacks to strike with Lightning
item.gm4.combat_expanded_armor.name.spark,Sparking %s
item.gm4.combat_expanded_armor.lore.sustain,Quicker Regeneration
item.gm4.combat_expanded_armor.name.sustain,Sustaining %s
item.gm4.combat_expanded_armor.lore.sword_ring,Floating Sword
item.gm4.combat_expanded_armor.lore.sword_ring_description,"Sword deals %s Damage, sneak to spin faster"
item.gm4.combat_expanded_armor.lore.sword_ring_description_2,Damage applies effects from mainhand
item.gm4.combat_expanded_armor.lore.sword_ring_description_3,Dealing damage reduces armor durability
item.gm4.combat_expanded_armor.lore.sword_ring_description_4,A sword rotates around you at attack range
item.gm4.combat_expanded_armor.name.sword_ring,Psychic %s
item.gm4.combat_expanded_armor.lore.unburden,%s per missing %s
item.gm4.combat_expanded_armor.name.unburden,Lightweight %s
item.gm4.combat_expanded_armor.lore.wild_magic,It must do Something
item.gm4.combat_expanded_armor.name.wild_magic,Wild Magic %s
item.gm4.combat_expanded_armor.lore.unidentified,%s Unidentified Item - Drop to Identify
death.gm4.combat_expanded_armor.link_0,%s followed eachother to their death
death.gm4.combat_expanded_armor.link_1,%s followed %s to their death
death.gm4.combat_expanded_armor.link_2+,%s followed %s and %s to their deaths
item.gm4.combat_expanded_armor.lore.delay_description,Deal delayed unblockable damage
item.gm4.combat_expanded_armor.name.double,Twofold %s
item.gm4.combat_expanded_armor.lore.lightning_strike,Static Strikes:
item.gm4.combat_expanded_armor.name.lightning,Charged %s
item.gm4.combat_expanded_armor.lore.pierce_strike,Breaking Strikes:
item.gm4.combat_expanded_armor.lore.pierce,Effect can Stack
item.gm4.combat_expanded_armor.name.pierce,Piercing %s
item.gm4.combat_expanded_armor.lore.swift_strike,Stacking Strikes:
item.gm4.combat_expanded_armor.lore.swift,Max 4 %s
item.gm4.combat_expanded_armor.name.swift,Swift %s
text.gm4.guidebook.combat_expanded_armor.double_modifier,- Has low base attack damage but will double total attack damage
text.gm4.guidebook.combat_expanded_armor.pierce_modifier,- Reduces armor of attacked target for 10 seconds
text.gm4.guidebook.combat_expanded_armor.convert_modifier,- Converts armor from this piece to max health
text.gm4.guidebook.combat_expanded_armor.sword_ring_modifier,- Spawns a floating sword to circle around the wearer\n- Lower attack speed when equipped
text.gm4.guidebook.combat_expanded_armor.spark_modifier,- Apply a lightning charge to attacker.\n- 7+ charges cause a lightning strike
text.gm4.guidebook.combat_expanded_armor.drain_modifier,"- Grants 1 bonus max health, up to a cap\n- Taking damage reduces max health"
text.gm4.guidebook.combat_expanded_armor.sustain_modifier,"- Regenerate health faster"
text.gm4.guidebook.combat_expanded_armor.focus_modifier,"- Gain attack damage, lose attack damage when damaged\n- Nearby mobs have glowing"
text.gm4.guidebook.combat_expanded_armor.reckless_modifier,"- Decrease armor and increase attack damage for 15 seconds\n- Effect can stack until piece runs out of armor"
text.gm4.guidebook.combat_expanded_armor.berserk_modifier,"- Gain attack damage, attack speed, movement speed and knockback resistance"
text.gm4.guidebook.combat_expanded_armor.burn_modifier,"- Deal fire damage to nearby entities for 10 seconds, damage stacks with more kills\n- Taking damage also adds a stack\n- At 10 stacks also set entities on fire and gain fire resistance"
text.gm4.guidebook.combat_expanded_armor.epic_armor,The following armor modifiers are only found in specific places:
text.gm4.guidebook.combat_expanded_armor.vorpal_location,Found in The End
text.gm4.guidebook.combat_expanded_armor.wild_magic_modifier,- Apply a random potion effect with random level and duration to wearer when damaged
text.gm4.guidebook.combat_expanded_armor.wild_magic_location,Found in Mushroom Fields
text.gm4.guidebook.combat_expanded_armor.link_location,Found in Deep Dark
