key,en_us
advancement.gm4.combat_expanded.identify.description,Obtain a Modified weapon or piece of armor from a mob
advancement.gm4.combat_expanded.identify.title,Hidden Power
attribute.gm4.combat_expanded.lore.immunity,%s Immunity
attribute.gm4.combat_expanded.toxic,%s %s
death.gm4.combat_expanded.delay,%s discovered the danger of resonance
enchantment.level.14,XIV
enchantment.level.15,XV
enchantment.level.16,XVI
enchantment.level.17,XVII
item.gm4.combat_expanded.lore.archer,Arrow Storm
item.gm4.combat_expanded.lore.beacon,Beacon
item.gm4.combat_expanded.lore.big,Giant Growth
item.gm4.combat_expanded.lore.canine,Good Boi
item.gm4.combat_expanded.lore.delay_strike,Reverberating Strikes:
item.gm4.combat_expanded.lore.delay,Echo
item.gm4.combat_expanded.lore.equip,When Equipped:
item.gm4.combat_expanded.lore.giant_strike,Stomping Strikes:
item.gm4.combat_expanded.lore.giant,Area Damage
item.gm4.combat_expanded.lore.half,Reduce Health to Half
item.gm4.combat_expanded.lore.high_hp,When High on Health:
item.gm4.combat_expanded.lore.husk,Ramping %s & %s
item.gm4.combat_expanded.lore.killing,When Killing:
item.gm4.combat_expanded.lore.low_hp,When Low on Health:
item.gm4.combat_expanded.lore.mount,%s (Mount)
item.gm4.combat_expanded.lore.poison_strike,Noxious Strikes:
item.gm4.combat_expanded.lore.regen,Regenerate
item.gm4.combat_expanded.lore.safe,When Not Under Attack:
item.gm4.combat_expanded.lore.soothe,Heal Pulse
item.gm4.combat_expanded.lore.tiny,Minituarize
item.gm4.combat_expanded.lore.totem,%s Totem
item.gm4.combat_expanded.lore.unsafe,When Under Attack:
item.gm4.combat_expanded.lore.warp,Warp
item.gm4.combat_expanded.lore.weakness_strike,Debilitating Strikes:
item.gm4.combat_expanded.lore.wither_arrow,Arrow of Wither
item.gm4.combat_expanded.name.acrobatic,Acrobatic %s
item.gm4.combat_expanded.name.archer,Archery %s
item.gm4.combat_expanded.name.beacon,Radiant %s
item.gm4.combat_expanded.name.big,Goliaths %s
item.gm4.combat_expanded.name.canine,Canine %s
item.gm4.combat_expanded.name.delay,Resonating %s
item.gm4.combat_expanded.name.fire,Flaming %s
item.gm4.combat_expanded.name.giant,Giant %s
item.gm4.combat_expanded.name.half,Fractal %s
item.gm4.combat_expanded.name.heavy,Heavy %s
item.gm4.combat_expanded.name.horse,Equestrian %s
item.gm4.combat_expanded.name.husk,Dashing %s
item.gm4.combat_expanded.name.immune,Vigorous %s
item.gm4.combat_expanded.name.link,Unlinked %s
item.gm4.combat_expanded.name.long,Long %s
item.gm4.combat_expanded.name.poised,Fluxed %s
item.gm4.combat_expanded.name.poison,Venomous %s
item.gm4.combat_expanded.name.quick,Light %s
item.gm4.combat_expanded.name.reactive,Reactive %s
item.gm4.combat_expanded.name.satiated,Satiated %s
item.gm4.combat_expanded.name.scout,Scouting %s
item.gm4.combat_expanded.name.second_wind,Rejuvenating %s
item.gm4.combat_expanded.name.shielded,Shielded %s
item.gm4.combat_expanded.name.sneak,Sly %s
item.gm4.combat_expanded.name.soothe,Soothing %s
item.gm4.combat_expanded.name.tiny,Shrinking %s
item.gm4.combat_expanded.name.totem,Totemic %s
item.gm4.combat_expanded.name.toxic,Coated %s
item.gm4.combat_expanded.name.vamp,Vampiric %s
item.gm4.combat_expanded.name.vorpal,Vorpal %s
item.gm4.combat_expanded.name.weightless,Weightless %s
item.gm4.combat_expanded.name.weakness,Crippling %s
text.gm4.guidebook.module_desc.combat_expanded,Use special armor and weapon modifiers to defend against mobs that grow ever stronger.
text.gm4.guidebook.combat_expanded.description,"Mobs get stronger over time, based on each adventurer.\n\nMobs will spawn with higher health, damage, movement speed and with better armour and weapons."
text.gm4.guidebook.combat_expanded.section.biome_modifiers,Area Modifiers
text.gm4.guidebook.combat_expanded.biome_modifiers,Mobs spawned in different areas have special modifiers.\n\nSome areas and biomes spawn different mobs than usual.
text.gm4.guidebook.combat_expanded.dark_areas,"Light Level 0, except in %s"
text.gm4.guidebook.combat_expanded.dark,dark
text.gm4.guidebook.combat_expanded.dark_modifier,Mobs spawned in %s areas are slightly stronger.\n\nCreepers have a higher blast radius and mobs don't drop their weapons and armour as often.
text.gm4.guidebook.combat_expanded.burned,burned
text.gm4.guidebook.combat_expanded.burned_modifier,"Mobs spawned in %s areas are weaker, but faster.\n\nHusks swarms can be found.\n\nMore mobs carry fire aspect and flame weapons."
text.gm4.guidebook.combat_expanded.deep,deep oceans
text.gm4.guidebook.combat_expanded.flowering,flowering
text.gm4.guidebook.combat_expanded.flowering_modifier,"Zombies spawned in %s areas have less health, but can respawn when killed.\n\nCreepers will use Invisibility to sneak up to adventurers.\n\nSlimes are larger and spawn more often."
text.gm4.guidebook.combat_expanded.growth,growth
text.gm4.guidebook.combat_expanded.growth_modifier,"Mobs spawned in %s areas are weaker, but spawn in groups.\n\nSkeletons carry melee weapons.\n\nMobs can be found wearing projectile protection gear."
text.gm4.guidebook.combat_expanded.mountainous,mountainous
text.gm4.guidebook.combat_expanded.mountainous_modifier,"Mobs spawned in %s areas are stronger.\n\nMore mobs carry knockback and punch weapons.\n\nPhantoms can be found here at night."
text.gm4.guidebook.combat_expanded.reef,warm oceans
text.gm4.guidebook.combat_expanded.snowy,snowy
text.gm4.guidebook.combat_expanded.snowy_modifier,"Mobs spawned in %s areas are slower, but have more health.\n\nMany attacks will apply slowness.\n\nCreepers are not found here."
text.gm4.guidebook.combat_expanded.toxic,toxic
text.gm4.guidebook.combat_expanded.toxic_modifier,"- Applies poison, weakness or instant health to the attacker\n- Reduced armor"
text.gm4.guidebook.combat_expanded.section.weapons_and_armor,Special Gear
text.gm4.guidebook.combat_expanded.drops,"Mobs can spawn with special gear.\n\nWeapons have a 20% drop chance and armour has a 8.5% drop chance.\n\nWhen dropped, the gear will have a powerful modifier."
text.gm4.guidebook.combat_expanded.common_weapons,The following modifiers can be found on weapons:
text.gm4.guidebook.combat_expanded.fire_modifier,"- Less attack damage, but has Fire Aspect III-V"
text.gm4.guidebook.combat_expanded.giant_modifier,- Deals damage to everything within 4.5 blocks
text.gm4.guidebook.combat_expanded.heavy_modifier,"- Stronger attack damage, but has slower attack speed\n- Knockback II-III"
text.gm4.guidebook.combat_expanded.poison_modifier,- Poisons attacked target
text.gm4.guidebook.combat_expanded.quick_modifier,"- Less attack damage, but quicker attack speed"
text.gm4.guidebook.combat_expanded.weakness_modifier,- Temporarily slows and weakens attacked target
text.gm4.guidebook.combat_expanded.delay_modifier,"- Shortly after hitting a target, they will be dealt heavy damage, attacking through armor and effects"
text.gm4.guidebook.combat_expanded.lightning_modifier,- Attacks apply lightning charges.\n- 7+ charges cause a lightning strike
text.gm4.guidebook.combat_expanded.swift_modifier,"- Reduced attack speed, but attacks grant bonus attack speed for 6 seconds"
text.gm4.guidebook.combat_expanded.equipped_armor,The following armor modifiers are activated while equipped:
text.gm4.guidebook.combat_expanded.husk_modifier,- Applies increasing speed and hunger while sprinting\n- Lower movement speed while not sprinting
text.gm4.guidebook.combat_expanded.rarity_common,Common
text.gm4.guidebook.combat_expanded.link_modifier,- Link to any adventurer wearing this armor with the same renamed name\n- All adventurers in the link share their health total
text.gm4.guidebook.combat_expanded.beacon_modifier,- A floating light follows the wearer\n- Crouching will apply glowing and a light pulse
text.gm4.guidebook.combat_expanded.canine_modifier,- Lower attack speed\n- Spawns an invulnerable dog that deals 4 damage\n- Commanding to sit will cause it to lose aggro\n- Feeding it will grant strength
text.gm4.guidebook.combat_expanded.rarity_rare,Rare
text.gm4.guidebook.combat_expanded.horse_modifier,- Mounts receive speed and additional helpful effects
