key,en_us
advancement.gm4.liquid_tanks.description,Find out that a liquid tank is not an epic submarine
advancement.gm4.liquid_tanks.title,"Oh, That Kind of Tank"
advancement.gm4.standard_liquids.description,Bottle your own experience from a liquid tank
advancement.gm4.standard_liquids.title,Experience Quicksave
block.gm4.liquid_tank,Liquid Tank
container.gm4.liquid_tank.beetroot_soup,Beetroot Soup Tank
container.gm4.liquid_tank.empty,Empty Tank
container.gm4.liquid_tank.experience,Experience Tank
container.gm4.liquid_tank.glow_ink,Glow Ink Tank
container.gm4.liquid_tank.honey,Honey Tank
container.gm4.liquid_tank.ink,Ink Tank
container.gm4.liquid_tank.lava,Lava Tank
container.gm4.liquid_tank.milk,Milk Tank
container.gm4.liquid_tank.mushroom_stew,Mushroom Stew Tank
container.gm4.liquid_tank.powder_snow,Powder Snow Tank
container.gm4.liquid_tank.rabbit_stew,Rabbit Stew Tank
container.gm4.liquid_tank.water,Water Tank
text.gm4.liquid_tanks.level_report.buckets,Buckets
text.gm4.liquid_tanks.level_report.levels,Levels
item.gm4.glow_ink_bottle,Glow Ink Bottle
item.gm4.ink_bottle,Ink Bottle
text.gm4.guidebook.module_desc.liquid_tanks,"Store liquids like Water, Lava, Milk, or Soup compactly in special tanks and interact with them!"
text.gm4.guidebook.liquid_tanks.description,Liquid Tanks can store various liquids in bulk.\n\nThe first slot of the liquid tank acts as both the input and output of the liquid tank.
text.gm4.guidebook.liqud_tanks.crafting,Liquid Tanks can be crafted in a Custom Crafter:
text.gm4.guidebook.module_desc.standard_liquids,"Store liquids like Water, Lava, Milk, or Soup compactly in special tanks and interact with them!"
text.gm4.guidebook.standard_liquids.water,"Standard liquids can be stored by liquid tanks.\n\nWater Tank\n- Drains water buckets, water bottles\n- Fills buckets, bottles\n- Fills adjacent cauldrons"
text.gm4.guidebook.standard_liquids.lava,Lava Tank\n- Drains lava buckets\n- Fills buckets\n- Fuels adjacent furnaces\n- Drains lava cauldrons\n- Fills adjacent cauldrons
text.gm4.guidebook.standard_liquids.rabbit_stew_and_beetroot_soup,"Rabbit Stew Tank\n- Drains rabbit stew\n- Fills bowls\n- Feeds drinkers\n\nBeetroot Soup Tank\n- Drains beetroot soup, beetroot\n- Fills bowls\n- Feeds drinkers"
text.gm4.guidebook.standard_liquids.mushroom_stew_and_milk,Mushroom Stew Tank\n- Drains mushroom stew\n- Fills bowls\n- Milks mooshrooms\n- Feeds drinkers\n\nMilk Tank\n- Drains milk buckets\n- Fills buckets\n- Milks cows\n- Clear mob effects
text.gm4.guidebook.standard_liquids.honey,"Honey Tanks\n- Drains honey bottles, honey blocks\n- Fills bottles\n- Casts honey blocks into cauldrons\n- Clears mob poison\n- Feeds drinkers"
text.gm4.guidebook.standard_liquids.experience,"Experience Tanks\n- Drains bottles o' enchanting, enchanted books\n- Fills bottles\n- Absorbs experience orbs, experience points\n- Fills experience points"
container.gm4.liquid_tank.ominous_bottle_0,Ominous I Tank
container.gm4.liquid_tank.ominous_bottle_1,Ominous II Tank
container.gm4.liquid_tank.ominous_bottle_2,Ominous III Tank
container.gm4.liquid_tank.ominous_bottle_3,Ominous IV Tank
container.gm4.liquid_tank.ominous_bottle_4,Ominous V Tank
