-Run beet to update columns 4-9

.Mob,.Soul Essence,Base,L I,L II,L III,.,K/E (L III),K/S (L III)
allay,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
allay,soaring,0.015%,0.06%,0.375%,1.23%,,81.3,1056.9
armadillo,enduring,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
armadillo,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
axolotl,bubbly,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
axolotl,feigning,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
axolotl,gliding,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
axolotl,synergetic,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
bat,gazing,0.3%,1.2%,7.5%,24.6%,,4.1,52.8
bat,soaring,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
bee,soaring,0.004%,0.016%,0.1%,0.33%,,304.9,3963.4
bee,venomous,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
blaze,blasting,0.002%,0.008%,0.05%,0.16%,,609.8,7926.8
blaze,feathery,0.0017%,0.007%,0.043%,0.14%,,717.4,9325.7
blaze,incombustible,0.0019%,0.008%,0.048%,0.16%,,641.8,8344.0
blaze,soaring,0.0013%,0.005%,0.033%,0.11%,,938.1,12195.1
bogged,hawkeye,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
bogged,lifeless,0.004%,0.016%,0.1%,0.33%,,304.9,3963.4
bogged,tranquilizing,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
breeze,agile,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
breeze,bounding,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
camel,dashing,0.025%,0.1%,0.625%,2.05%,,48.8,634.1
camel,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
camel_husk,dashing,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
camel_husk,lifeless,0.035%,0.14%,0.875%,2.87%,,34.8,453.0
camel_husk,retreating,0.045%,0.18%,1.125%,3.69%,,27.1,352.3
cat,agile,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
cat,gazing,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
cat,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
cave_spider,scaling,0.0027%,0.011%,0.068%,0.22%,,451.7,5871.7
cave_spider,venomous,0.0023%,0.009%,0.058%,0.19%,,530.2,6892.9
chicken,feathery,0.009%,0.036%,0.225%,0.74%,,135.5,1761.5
chicken,retreating,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
cod,bubbly,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
cod,gliding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
cow,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
creeper,volatile,0.003%,0.012%,0.075%,0.25%,,406.5,5284.6
dolphin,bubbly,0.14%,0.56%,3.5%,11.48%,,8.7,113.2
dolphin,gliding,0.12%,0.48%,3.0%,9.84%,,10.2,132.1
donkey,bounding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
drowned,bubbly,0.015%,0.06%,0.375%,1.23%,,81.3,1056.9
drowned,lifeless,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
elder_guardian,bubbly,1.2%,4.8%,30.0%,98.4%,,1.0,13.2
elder_guardian,draining,1.1%,4.4%,27.5%,90.2%,,1.1,14.4
elder_guardian,enduring,0.97%,3.88%,24.25%,79.54%,,1.3,16.3
elder_guardian,gliding,1.2%,4.8%,30.0%,98.4%,,1.0,13.2
ender_dragon,anchoring,0.6%,2.4%,15.0%,49.2%,,2.0,26.4
ender_dragon,bashing,0.6%,2.4%,15.0%,49.2%,,2.0,26.4
ender_dragon,blasting,0.7%,2.8%,17.5%,57.4%,,1.7,22.6
ender_dragon,enduring,0.5%,2.0%,12.5%,41.0%,,2.4,31.7
ender_dragon,soaring,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
enderman,aggressive,0.006%,0.024%,0.15%,0.49%,,203.3,2642.3
enderman,expeditious,0.0025%,0.01%,0.062%,0.21%,,487.8,6341.5
enderman,gazing,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
endermite,synergetic,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
evoker,conjuring,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
fox,bounding,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
fox,gazing,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
fox,retreating,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
frog,bubbly,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
frog,gliding,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
frog,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
ghast,blasting,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
ghast,incombustible,0.025%,0.1%,0.625%,2.05%,,48.8,634.1
ghast,soaring,0.009%,0.036%,0.225%,0.74%,,135.5,1761.5
giant,enduring,0.7%,2.8%,17.5%,57.4%,,1.7,22.6
glow_squid,bubbly,0.17%,0.68%,4.25%,13.94%,,7.2,93.3
glow_squid,gliding,0.15%,0.6%,3.75%,12.3%,,8.1,105.7
goat,aggressive,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
goat,bounding,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
goat,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
goat,rushing,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
guardian,bubbly,0.0035%,0.014%,0.088%,0.29%,,348.4,4529.6
guardian,gliding,0.003%,0.012%,0.075%,0.25%,,406.5,5284.6
guardian,pricking,0.002%,0.008%,0.05%,0.16%,,609.8,7926.8
happy_ghast,soaring,0.003%,0.012%,0.075%,0.25%,,406.5,5284.6
hoglin,anchoring,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
hoglin,bashing,0.025%,0.1%,0.625%,2.05%,,48.8,634.1
horse,bounding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
husk,depriving,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
husk,lifeless,0.012%,0.048%,0.3%,0.98%,,101.6,1321.1
illusioner,blinding,0.2%,0.8%,5.0%,16.4%,,6.1,79.3
illusioner,vanishing,0.2%,0.8%,5.0%,16.4%,,6.1,79.3
iron_golem,agile,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
iron_golem,anchoring,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
iron_golem,bashing,0.007%,0.028%,0.175%,0.57%,,174.2,2264.8
iron_golem,enduring,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
llama,aggressive,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
magma_cube,agile,0.016%,0.064%,0.4%,1.31%,,76.2,990.9
magma_cube,bounding,0.016%,0.064%,0.4%,1.31%,,76.2,990.9
magma_cube,incombustible,0.012%,0.048%,0.3%,0.98%,,101.6,1321.1
mooshroom,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
mule,bounding,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
nautilus,bubbly,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
nautilus,gliding,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
nautilus,dashing,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
ocelot,agile,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
ocelot,gazing,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
panda,aggressive,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
parrot,feathery,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
parrot,soaring,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
parched,hawkeye,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
parched,lifeless,0.012%,0.048%,0.3%,0.98%,,101.6,1321.1
parched,debilitate,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
phantom,feathery,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
phantom,lifeless,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
phantom,soaring,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
pig,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
piglin,aggressive,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
piglin,rushing,0.018%,0.072%,0.45%,1.48%,,67.8,880.8
piglin,synergetic,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
piglin_brute,enduring,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
piglin_brute,rushing,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
piglin_brute,synergetic,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
pillager,rushing,0.0028%,0.011%,0.07%,0.23%,,435.5,5662.0
polar_bear,aggressive,0.6%,2.4%,15.0%,49.2%,,2.0,26.4
polar_bear,synergetic,0.65%,2.6%,16.25%,53.3%,,1.9,24.4
pufferfish,bubbly,0.065%,0.26%,1.625%,5.33%,,18.8,243.9
pufferfish,gliding,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
pufferfish,pricking,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
pufferfish,venomous,0.025%,0.1%,0.625%,2.05%,,48.8,634.1
rabbit,bounding,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
rabbit,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
ravager,anchoring,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
ravager,bashing,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
ravager,enduring,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
salmon,bubbly,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
salmon,gliding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
sheep,retreating,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
shulker,anchoring,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
shulker,enduring,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
shulker,expeditious,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
silverfish,phasing,0.015%,0.06%,0.375%,1.23%,,81.3,1056.9
silverfish,synergetic,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
silverfish,vanishing,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
skeleton,hawkeye,0.004%,0.016%,0.1%,0.33%,,304.9,3963.4
skeleton,lifeless,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
skeleton_horse,bounding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
skeleton_horse,lifeless,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
slime,bounding,0.009%,0.036%,0.225%,0.74%,,135.5,1761.5
sniffer,retreating,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
sniffer,sniffing,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
snow_golem,aggressive,0.035%,0.14%,0.875%,2.87%,,34.8,453.0
spider,scaling,0.003%,0.012%,0.075%,0.25%,,406.5,5284.6
squid,blinding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
squid,bubbly,0.12%,0.48%,3.0%,9.84%,,10.2,132.1
squid,gliding,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
stray,freezing,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
stray,hawkeye,0.0045%,0.018%,0.112%,0.37%,,271.0,3523.0
stray,lifeless,0.0055%,0.022%,0.137%,0.45%,,221.7,2882.5
strider,incombustible,0.025%,0.1%,0.625%,2.05%,,48.8,634.1
strider,retreating,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
strider,striding,0.017%,0.068%,0.425%,1.39%,,71.7,932.6
tadpole,bubbly,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
tadpole,gliding,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
trader_llama,aggressive,0.5%,2.0%,12.5%,41.0%,,2.4,31.7
tropical_fish,bubbly,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
