type,variant,size_x,size_y,size_z,base_x_offset,base_z_offset,branch_start_height,feature,is_mega
poplar,a1,9,39,11,5,3,11,#,true
poplar,a1m,9,39,11,5,3,11,#,true
poplar,a2,9,39,11,5,3,11,#,true
poplar,a2m,9,39,11,5,3,11,#,true
poplar,a3,9,39,11,5,3,11,#,true
poplar,a3m,9,39,11,5,3,11,#,true
poplar,b1,11,32,11,5,4,8,#,true
poplar,b1m,11,32,11,5,4,8,#,true
poplar,b2,11,32,11,5,4,8,#,true
poplar,b2m,11,32,11,5,4,8,#,true
poplar,b3,11,32,11,5,4,8,#,true
poplar,b3m,11,32,11,5,4,8,#,true
poplar,c1,11,28,9,5,3,5,#,true
poplar,c1m,11,28,9,5,3,5,#,true
poplar,c2,11,28,9,5,3,5,#,true
poplar,c2m,11,28,9,5,3,5,#,true
poplar,c3,11,28,9,5,3,5,#,true
poplar,c3m,11,28,9,5,3,5,#,true
poplar,d1,12,26,11,5,4,6,#,true
poplar,d1m,12,26,11,5,4,6,#,true
poplar,d2,12,26,11,5,4,6,#,true
poplar,d2m,12,26,11,5,4,6,#,true
poplar,d3,12,26,11,5,4,6,#,true
poplar,d3m,12,26,11,5,4,6,#,true
poplar,e1,10,26,10,4,4,9,#,true
poplar,e1m,10,26,10,4,4,9,#,true
poplar,e2,10,26,10,4,4,9,#,true
poplar,e2m,10,26,10,4,4,9,#,true
poplar,e3,10,26,10,4,4,9,#,true
poplar,e3m,10,26,10,4,4,9,#,true
poplar,f1,11,26,11,5,4,7,#,true
poplar,f1m,11,26,11,5,4,7,#,true
poplar,f2,11,26,11,5,4,7,#,true
poplar,f2m,11,26,11,5,4,7,#,true
poplar,f3,11,26,11,5,4,7,#,true
poplar,f3m,11,26,11,5,4,7,#,true
poplar,g1,10,21,9,4,4,6,#,true
poplar,g1m,10,21,9,4,4,6,#,true
poplar,g2,10,21,9,4,4,6,#,true
poplar,g2m,10,21,9,4,4,6,#,true
poplar,g3,10,21,9,4,4,6,#,true
poplar,g3m,10,21,9,4,4,6,#,true
poplar,h1,11,20,11,4,4,5,#,true
poplar,h1m,11,20,11,4,4,5,#,true
poplar,h2,11,20,11,4,4,5,#,true
poplar,h2m,11,20,11,4,4,5,#,true
poplar,h3,11,20,11,4,4,5,#,true
poplar,h3m,11,20,11,4,4,5,#,true
poplar,i1,11,24,11,6,5,7,#,true
poplar,i1m,11,24,11,6,5,7,#,true
poplar,i2,11,24,11,6,5,7,#,true
poplar,i2m,11,24,11,6,5,7,#,true
poplar,i3,11,24,11,6,5,7,#,true
poplar,i3m,11,24,11,6,5,7,#,true
poplar,j1,11,30,11,6,5,8,#,true
poplar,j1m,11,30,11,6,5,8,#,true
poplar,j2,11,30,11,6,5,8,#,true
poplar,j2m,11,30,11,6,5,8,#,true
poplar,j3,11,30,11,6,5,8,#,true
poplar,j3m,11,30,11,6,5,8,#,true
poplar,k1,13,36,9,6,3,9,#,true
poplar,k1m,13,36,9,6,3,9,#,true
poplar,k2,13,36,9,6,3,9,#,true
poplar,k2m,13,36,9,6,3,9,#,true
poplar,k3,13,36,9,6,3,9,#,true
poplar,k3m,13,36,9,6,3,9,#,true
poplar,l1,13,23,14,6,6,5,#,true
poplar,l1m,13,23,14,6,6,5,#,true
poplar,l2,13,23,14,6,6,5,#,true
poplar,l2m,13,23,14,6,6,5,#,true
poplar,l3,13,23,14,6,6,5,#,true
poplar,l3m,13,23,14,6,6,5,#,true
