key,en_us
advancement.gm4.zauber_cauldrons.creation.description,"Create a Zauber Cauldron",
advancement.gm4.zauber_cauldrons.creation.title,"Potion Chef",
advancement.gm4.zauber_cauldrons.drink_multi_use_bottle.description,"Take the ninth sip out of a single bottle",
advancement.gm4.zauber_cauldrons.drink_multi_use_bottle.title,"Clean Plate Club",
advancement.gm4.zauber_cauldrons.full_armour.description,"Suit up with a full suit of Zauber Armor",
advancement.gm4.zauber_cauldrons.full_armour.title,"Underated Materials",
advancement.gm4.zauber_cauldrons.rabbit.description,"Where did my lunch go?",
advancement.gm4.zauber_cauldrons.rabbit.title,"Soup Kitchen Magician",
advancement.gm4.zauber_cauldrons.wormhole.description,"Just like the rabbits!",
advancement.gm4.zauber_cauldrons.wormhole.title,"Questionable Ingredients",
entity.gm4.possessed_item,"Possessed Item\u00A7",
item.gm4.enchanted_prismarine_shard,Enchanted Prismarine Shard
item.gm4.magic_in_a_bottle,Magic in a Bottle
item.gm4.wormhole_in_a_bottle,"Wormhole in a Bottle"
item.gm4.zauber_cauldrons.crystal.instant_damage,"Crystal of Harming"
item.gm4.zauber_cauldrons.crystal.instant_health,"Crystal of Healing"
item.gm4.zauber_cauldrons.crystal.jump_boost,"Crystal of Leaping"
item.gm4.zauber_cauldrons.crystal.poison,"Crystal of Poison"
item.gm4.zauber_cauldrons.crystal.regeneration,"Crystal of Regeneration"
item.gm4.zauber_cauldrons.crystal.speed,"Crystal of Swiftness"
item.gm4.zauber_cauldrons.crystal.strength,"Crystal of Strength"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.harming,"Lingering Soulution of Harming"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.healing,"Lingering Soulution of Healing"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.leaping,"Lingering Soulution of Leaping"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.poison,"Lingering Soulution of Poison"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.regeneration,"Lingering Soulution of Regeneration"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.strength,"Lingering Soulution of Strength"
item.gm4.zauber_cauldrons.multi_use_bottle.lingering_potion.swiftness,"Lingering Soulution of Swiftness"
item.gm4.zauber_cauldrons.multi_use_bottle.lore.sips,"Sips"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.harming,"Soulution of Harming"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.healing,"Soulution of Healing"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.leaping,"Soulution of Leaping"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.poison,"Soulution of Poison"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.regeneration,"Soulution of Regeneration"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.strength,"Soulution of Strength"
item.gm4.zauber_cauldrons.multi_use_bottle.potion.swiftness,"Soulution of Swiftness"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.harming,"Splash Soulution of Harming"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.healing,"Splash Soulution of Healing"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.leaping,"Splash Soulution of Leaping"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.poison,"Splash Soulution of Poison"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.regeneration,"Splash Soulution of Regeneration"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.strength,"Splash Soulution of Strength"
item.gm4.zauber_cauldrons.multi_use_bottle.splash_potion.swiftness,"Splash Soulution of Swiftness"
item.gm4.zauber_cauldrons.zauber_armor.boots,"Zauber Boots"
item.gm4.zauber_cauldrons.zauber_armor.chestplate,"Zauber Chestplate"
item.gm4.zauber_cauldrons.zauber_armor.helmet,"Zauber Helmet"
item.gm4.zauber_cauldrons.zauber_armor.leggings,"Zauber Leggings"
item.gm4.zauber_cauldrons.zauber_armor.magic,"+%s%% Magic"
